Cooler Classic 34,Club - Mixed ,19,8,2023
Hartland,WI,2023-08-19,2023-08-20
https://play.usaultimate.org/events/Cooler-Classic-34/schedule/Mixed/Club-Mixed
Chicago Parlay,1
bracket,1st
Chicago Parlay,Northern Comfort,0,0,"08/20/2023, 09:00",1st Quarters,In Progress
Risky Business,Mad Udderburn,0,0,"08/20/2023, 09:00",1st Quarters,In Progress
Bird,Minnesota Star Power,0,0,"08/20/2023, 09:00",1st Quarters,In Progress
Spectre,No Touching!,7,15,"08/20/2023, 09:00",1st Quarters,Final
Melt,Northern Comfort,3,13,"08/19/2023, 16:00",1st Pre-Quarters,Final
Mad Udderburn,Point of No Return,12,11,"08/19/2023, 16:00",1st Pre-Quarters,Final
Bird,Jabba,13,6,"08/19/2023, 16:00",1st Pre-Quarters,Final
Spectre,Mousetrap,12,5,"08/19/2023, 16:00",1st Pre-Quarters,Final
bracket,3rd
bracket,5th
bracket,7th
b,r,e,a,k
brackets,9th Place
bracket,9th
Mousetrap,Pushovers,0,0,"08/20/2023, 09:00",9th Quarters,In Progress
Madison United Mixed Ultimate,Point of No Return,0,0,"08/20/2023, 09:00",9th Quarters,In Progress
Jabba,Boomtown Pandas,15,6,"08/20/2023, 09:00",9th Quarters,Final
The Force,Melt,0,0,"08/20/2023, 09:00",9th Quarters,In Progress
Stackcats,Pushovers,10,11,"08/19/2023, 16:00",9th Pre-Q,Final
Madison United Mixed Ultimate,Prion,12,5,"08/19/2023, 16:00",9th Pre-Q,Final
Pandamonium,Boomtown Pandas,9,13,"08/19/2023, 16:00",9th Pre-Q,Final
Great Minnesota Get Together,The Force,10,13,"08/19/2023, 16:00",9th Pre-Q,Final
bracket,11th
bracket,13th
bracket,15th
b,r,e,a,k
brackets,17th Place
bracket,17th
Stackcats,Frostbite,0,0,"08/20/2023, 09:00",17th Quarters,In Progress
Mastodon,Prion,0,0,"08/20/2023, 09:00",17th Quarters,In Progress
Pandamonium,Lake Superior Disc,0,0,"08/20/2023, 09:00",17th Quarters,In Progress
Locomotion,Great Minnesota Get Together,0,0,"08/20/2023, 09:00",17th Quarters,In Progress
Frostbite,Arms Race,13,6,"08/19/2023, 16:00",17th Pre-Q,Final
Underdogs,Mastodon,9,10,"08/19/2023, 16:00",17th Pre-Q,Final
Lake Superior Disc,PanIC,10,6,"08/19/2023, 16:00",17th Pre-Q,Final
Locomotion,Mad City Vibes,12,7,"08/19/2023, 16:00",17th Pre-Q,Final
bracket,19th
bracket,21st
bracket,23rd
b,r,e,a,k
pools,25th RR
pool,Pool G
Underdogs,Mad City Vibes,0,0,"08/20/2023, 09:00",Pool G,Scheduled
Underdogs,Arms Race,0,0,"08/20/2023, 13:00",Pool G,Scheduled
Arms Race,Mad City Vibes,0,0,"08/20/2023, 15:00",Pool G,Scheduled
b,r,e,a,k
