HoDown Showdown 2023,Club - Mixed ,12,8,2023
Asheville,NC,2023-08-12,2023-08-13
https://play.usaultimate.org/events/HoDown-Showdown-2023/schedule/Mixed/Club-Mixed
Dirty Bird,1
Dirty Bird,Roma Ultima,13,10,"08/13/2023, 13:00",Finals,Final
Dirty Bird,Malice in Wonderland,14,8,"08/13/2023, 11:00",Semifinals,Final
Roma Ultima,m'kay Ultimate,15,10,"08/13/2023, 11:00",Semifinals,Final
Dirty Bird,Dizzy Kitty,15,7,"08/13/2023, 09:00",Quarterfinals,Final
Malice in Wonderland,Too Much Fun,14,13,"08/13/2023, 09:00",Quarterfinals,Final
Roma Ultima,Crown Peach,14,11,"08/13/2023, 09:00",Quarterfinals,Final
m'kay Ultimate,Bear Jordan,15,11,"08/13/2023, 09:00",Quarterfinals,Final
bracket,3rd Place
Malice in Wonderland,m'kay Ultimate,11,6,"08/13/2023, 13:00",3rd Place,Final
bracket,5th Place
Too Much Fun,Crown Peach,13,9,"08/13/2023, 13:00",5th Place,Final
Dizzy Kitty,Too Much Fun,8,15,"08/13/2023, 11:00",5th Semis,Final
Crown Peach,Bear Jordan,10,9,"08/13/2023, 11:00",5th Semis,Final
bracket,7th Place
Dizzy Kitty,Bear Jordan,10,15,"08/13/2023, 13:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Barefoot,Magnanimouse,9,11,"08/13/2023, 13:00",9th Place,Final
Barefoot,Moontower,15,11,"08/13/2023, 11:00",9th Place Semis,Final
FlyTrap,Magnanimouse,13,14,"08/13/2023, 11:00",9th Place Semis,Final
Barefoot,Memphis STAX,15,11,"08/13/2023, 09:00",9th Place Quarters,Final
Verdant,Moontower,9,15,"08/13/2023, 09:00",9th Place Quarters,Final
Brunch Club,FlyTrap,12,13,"08/13/2023, 09:00",9th Place Quarters,Final
Magnanimouse,Piedmont United,15,4,"08/13/2023, 09:00",9th Place Quarters,Final
bracket,11th Place
Moontower,FlyTrap,11,15,"08/13/2023, 13:00",11th Place,Final
bracket,13th Place
Memphis STAX,Brunch Club,1,0,"08/13/2023, 13:00",13th Place,Final
Memphis STAX,Verdant,15,7,"08/13/2023, 11:00",13th Semis,Final
Brunch Club,Piedmont United,14,8,"08/13/2023, 11:00",13th Semis,Final
bracket,15th Place
Verdant,Piedmont United,15,5,"08/13/2023, 13:00",15th Place,Final
b,r,e,a,k
pools,17th Place Pool
pool,Pool E
MoonPi,Rampage,14,5,"08/13/2023, 09:00",Pool E,Final
Pickles,Flood Zone,6,15,"08/13/2023, 09:00",Pool E,Final
MoonPi,Flood Zone,11,9,"08/13/2023, 11:00",Pool E,Final
Pickles,Rampage,10,11,"08/13/2023, 11:00",Pool E,Final
MoonPi,Pickles,11,4,"08/13/2023, 13:00",Pool E,Final
Rampage,Flood Zone,3,13,"08/13/2023, 13:00",Pool E,Final
b,r,e,a,k
