2021 U.S. Open Club Championships,Club - Men ,7,8,2021
Blaine,MN,2021-08-06,2021-08-09
https://play.usaultimate.org/events/2021-US-Open-Club-Championships/schedule/Men/Club-Men/
Sockeye,1
bracket,T-17th Place
Overdrive,Surly,6,13,"08/08/2021, 13:00",T-17th Place,Final
bracket,T-17th Place
Cryptic,Mallard II,15,11,"08/08/2021, 13:00",T-17th Place,Final
b,r,e,a,k
brackets,Updated T-13 Semis
bracket,Updated T-13 Semis
Mallard,Flash Flood,15,10,"08/08/2021, 13:00",T-13,Final
bracket,Updated T-13 Semis
Inception,Knights of Ni,0,0,"08/08/2021, 13:00",T-13,In Progress
b,r,e,a,k
