Mid-Atlantic Men's Club Regional Championship 2021,Club - Men ,25,9,2021
Frederica,DE,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Mid-Atlantic-Mens-Club-Regional-Championship-2021/schedule/Men/Club-Men/
Truck Stop,1
Rumspringa,Pittsburgh Stealers,13,9,"09/25/2021, 14:00",2nd Round,Final
Phoenix F.C.,Watchdogs,13,11,"09/25/2021, 14:00",2nd Round,Final
Oakgrove Boys,CITYWIDE Special,13,8,"09/25/2021, 14:00",2nd Round,Final
Helots,SORD,5,13,"09/25/2021, 12:00",1st Round,Final
Fathom,Pittsburgh Stealers,7,13,"09/25/2021, 12:00",1st Round,Final
JAWN,Watchdogs,7,13,"09/25/2021, 12:00",1st Round,Final
CITYWIDE Special,Town Hall Stars,13,8,"09/25/2021, 12:00",1st Round,Final
bracket,5th Place
Garden State Ultimate,Phoenix F.C.,12,7,"09/26/2021, 12:00",Finals,Final
bracket,7th Place
bracket,9th Place (Tie-1)
SORD,Pittsburgh Stealers,13,11,"09/25/2021, 16:00",Finals,Final
bracket,9th Place (Tie-2)
Watchdogs,CITYWIDE Special,0,0,"09/25/2021, 16:00",Finals,Final
bracket,13th Place
Helots,JAWN,13,5,"09/25/2021, 16:00",Finals,Final
Helots,Fathom,13,7,"09/25/2021, 14:00",Semis,Final
JAWN,Town Hall Stars,13,0,"09/25/2021, 14:00",Semis,Final
bracket,15th Place
b,r,e,a,k
