Old Capitol Open 2024,College - Men ,30,3,2024
Cedar Rapids,IA,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Old-Capitol-Open-2024/schedule/Men/CollegeMen/
Colorado Mines,1
Colorado Mines,Illinois State,13,6,"03/30/2024, 13:30",Prequarters,Final
Macalester,Wisconsin-La Crosse,10,4,"03/30/2024, 13:30",Prequarters,Final
Iowa,Carthage,13,1,"03/30/2024, 13:30",Prequarters,Final
Davenport,Grinnell,12,6,"03/30/2024, 13:30",Prequarters,Final
Colorado (B),Eastern Michigan,13,4,"03/30/2024, 13:30",Prequarters,Final
Southern Illinois-Edwardsville,Minnesota (B),13,10,"03/30/2024, 13:30",Prequarters,Final
Michigan State,Northern Iowa,11,3,"03/30/2024, 13:30",Prequarters,Final
Minnesota-Duluth,Minnesota (C),12,7,"03/30/2024, 13:30",Prequarters,Final
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
Illinois State,Wisconsin-La Crosse,0,0,"03/31/2024, 09:00",9th Place Quarters,Scheduled
Carthage,Grinnell,0,0,"03/31/2024, 09:00",9th Place Quarters,Scheduled
Eastern Michigan,Minnesota (B),0,0,"03/31/2024, 09:00",9th Place Quarters,Scheduled
Northern Iowa,Minnesota (C),0,0,"03/31/2024, 09:00",9th Place Quarters,Scheduled
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
clusters,Crossover
cluster,Crossover
St John's (Minnesota),Luther,12,7,"03/30/2024, 13:30",,Final
Wisconsin-Stevens Point,Washington University (B),5,10,"03/30/2024, 13:30",,Final
Iowa (B),St Thomas,4,11,"03/30/2024, 13:30",,Final
Iowa State (B),Wisconsin-Milwaukee (B),9,3,"03/30/2024, 13:30",,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,17th Place
St John's (Minnesota),Northwestern (B),0,0,"03/30/2024, 15:00",17th Place Quarters,Scheduled
Wisconsin-Stevens Point,St Thomas,7,9,"03/30/2024, 15:00",17th Place Quarters,Final
Washington University (B),Iowa (B),12,5,"03/30/2024, 15:00",17th Place Quarters,Final
Luther,Iowa State (B),0,0,"03/30/2024, 15:00",17th Place Quarters,Scheduled
bracket,19th Place
b,r,e,a,k
pools,Consolation Pool
pool,Consolation Pool
Wisconsin-Milwaukee (B),Wisconsin-Stevens Point,0,0,"03/31/2024, 09:00",Consolation Pool,Scheduled
Wisconsin-Milwaukee (B),Iowa (B),0,0,"03/31/2024, 10:30",Consolation Pool,Scheduled
b,r,e,a,k
