2024 USA Ultimate Masters Championships,Grand Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Rusted Metal,7
Surly GM,Johnny Walker,13,15,"07/20/2024, 08:30",Quarterfinals,Final
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
Black Cans,Eldors,8,2,"07/20/2024, 13:00",5th semifinals,In Progress
Burnside 40 A,Surly GM,3,8,"07/20/2024, 13:00",5th semifinals,In Progress
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place
bracket,9th Place
Endless Sunset,Bighorn,0,0,"07/20/2024, 15:15",9th Semifinals,Scheduled
Scor'n,Junkyard,0,0,"07/21/2024, 15:15",9th Semifinals,Scheduled
Endless Sunset,Peralta,15,7,"07/20/2024, 10:45",9th Quarterfinals,Final
Gravymaker,Bighorn,7,15,"07/20/2024, 10:45",9th Quarterfinals,Final
Scor'n,Reckon,14,9,"07/20/2024, 10:45",9th Quarterfinals,Final
Gravemaker,Junkyard,8,15,"07/20/2024, 10:45",9th Quarterfinals,Final
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
Peralta,Gravymaker,0,0,"07/20/2024, 15:15",13th Semifinals,Scheduled
Reckon,Gravemaker,0,0,"07/20/2024, 15:15",13th Semifinals,Scheduled
b,r,e,a,k
brackets,15th Place
bracket,15th Place
b,r,e,a,k
