Easterns Qualifier,College - Men ,22,2,2014
https://play.usaultimate.org/events/Easterns-Qualifier/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
Auburn,Connecticut,15,13,"02/23/2014, 05:00",Pool A
pool,Pool B
Rutgers,Appalachian State,14,13,"02/22/2014, 09:00",Pool B
Massachusetts,Ohio State,15,11,"02/22/2014, 09:00",Pool B
North Carolina State,Maryland,14,10,"02/22/2014, 09:00",Pool B
North Carolina State,Ohio State,13,7,"02/22/2014, 11:00",Pool B
Maryland,Appalachian State,14,10,"02/22/2014, 11:00",Pool B
Massachusetts,Rutgers,15,8,"02/22/2014, 11:00",Pool B
North Carolina State,Rutgers,15,10,"02/22/2014, 13:00",Pool B
Massachusetts,Appalachian State,15,4,"02/22/2014, 13:00",Pool B
Ohio State,Maryland,14,12,"02/22/2014, 13:00",Pool B
North Carolina State,Massachusetts,12,15,"02/22/2014, 15:00",Pool B
Rutgers,Maryland,7,15,"02/22/2014, 15:00",Pool B
Ohio State,Appalachian State,15,7,"02/22/2014, 15:00",Pool B
Massachusetts,Maryland,14,13,"02/23/2014, 09:00",Pool B
Ohio State,Rutgers,13,14,"02/23/2014, 09:00",Pool B
North Carolina State,Appalachian State,14,15,"02/23/2014, 09:00",Pool B
pool,Pool C
Indiana,Michigan State,14,16,"02/22/2014, 09:00",Pool C
Minnesota-Duluth,Georgetown,16,15,"02/22/2014, 09:00",Pool C
Virginia,James Madison,15,10,"02/22/2014, 09:00",Pool C
Virginia,Georgetown,14,13,"02/22/2014, 11:00",Pool C
James Madison,Michigan State,15,11,"02/22/2014, 11:00",Pool C
Minnesota-Duluth,Indiana,15,13,"02/22/2014, 11:00",Pool C
Virginia,Indiana,15,10,"02/22/2014, 13:00",Pool C
Minnesota-Duluth,Michigan State,10,15,"02/22/2014, 13:00",Pool C
Georgetown,James Madison,14,10,"02/22/2014, 13:00",Pool C
Indiana,James Madison,16,17,"02/22/2014, 15:00",Pool C
Georgetown,Michigan State,15,5,"02/22/2014, 15:00",Pool C
Virginia,Minnesota-Duluth,15,10,"02/22/2014, 17:00",Pool C
Minnesota-Duluth,James Madison,14,13,"02/23/2014, 09:00",Pool C
Georgetown,Indiana,15,10,"02/23/2014, 09:00",Pool C
Virginia,Michigan State,17,15,"02/23/2014, 09:00",Pool C
pool,Pool D
Williams,Delaware,15,10,"02/22/2014, 01:00",Pool D
Penn State,Virginia Tech,15,13,"02/22/2014, 01:00",Pool D
Ohio,Northeastern,10,12,"02/22/2014, 01:00",Pool D
Williams,Northeastern,15,9,"02/22/2014, 03:00",Pool D
Ohio,Virginia Tech,16,14,"02/22/2014, 03:00",Pool D
Delaware,Penn State,9,15,"02/22/2014, 03:00",Pool D
Northeastern,Penn State,8,15,"02/22/2014, 05:00",Pool D
Delaware,Virginia Tech,16,17,"02/22/2014, 05:00",Pool D
Williams,Ohio,15,10,"02/22/2014, 07:00",Pool D
Northeastern,Virginia Tech,9,15,"02/22/2014, 23:00",Pool D
Ohio,Delaware,15,13,"02/22/2014, 23:00",Pool D
Williams,Penn State,12,15,"02/22/2014, 23:00",Pool D
Ohio,Penn State,7,15,"02/23/2014, 09:00",Pool D
