Lehigh Valley Invite,Club - Mixed ,2,8,2025
Allentown,PA,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Lehigh-Valley-Invite/schedule/Mixed/Club-Mixed
UNION,1
0,Alexandra  Padilla
2,Timothy Flickinger
5,Anthony Ceddia
6,Hannah Wilcox
8,Shawn Watts
13,Maddie Beale
40,Dakotah Mikulski
50,Ryan Ernst
b,r,e,a,k
Voltage,23
teamInfo,,"Baltimore, Maryland",,,https://twitter.com/VoltageUltimat1
0,Joseph Davis
0,Manav Bhatt
3,Sae Egoshi
4,Carter Russell
5,Grace Daly
6,Elayne Jia
10,Victoria Daniel-Okeke
11,Aaron Allen
14,Christina Hoffman
15,Emily Hung
16,Garrett Goltz
17,Sadie Friesen
18,Mykiah Ashley
21,Evan  Silwick
23,Maddie Wee
25,Fujia Zheng
26,Aara Sampath
27,Catherine Brown
30,Austin Moon
47,Maddie Brennan
66,Brayden Swanson 
81,Will Henderson
85,Adolfo Martinez
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play Group 1
pool,Pool A
UNION,Mashed,15,2,"08/02/2025, 08:00",Pool A,Final
Farm Show,Heavy Flow,15,7,"08/02/2025, 08:00",Pool A,Final
UNION,Heavy Flow,15,1,"08/02/2025, 09:45",Pool A,Final
Farm Show,Mashed,14,12,"08/02/2025, 09:45",Pool A,Final
UNION,Farm Show,15,3,"08/02/2025, 11:30",Pool A,Final
Mashed,Heavy Flow,14,7,"08/02/2025, 11:30",Pool A,Final
pool,Pool B
Funk,Jumbo Slice,10,13,"08/02/2025, 08:00",Pool B,Final
HVAC,NY Swipes,13,11,"08/02/2025, 08:00",Pool B,Final
Funk,NY Swipes,14,6,"08/02/2025, 09:45",Pool B,Final
HVAC,Jumbo Slice,8,9,"08/02/2025, 09:45",Pool B,Final
Funk,HVAC,8,9,"08/02/2025, 11:30",Pool B,Final
Jumbo Slice,NY Swipes,10,8,"08/02/2025, 11:30",Pool B,Final
pool,Pool C
Jughandle,Spice,12,7,"08/02/2025, 08:00",Pool C,Final
FLI,Delabear,13,12,"08/02/2025, 08:00",Pool C,Final
Jughandle,Delabear,12,10,"08/02/2025, 09:45",Pool C,Final
FLI,Spice,9,10,"08/02/2025, 09:45",Pool C,Final
Jughandle,FLI,10,7,"08/02/2025, 11:30",Pool C,Final
Spice,Delabear,11,12,"08/02/2025, 11:30",Pool C,Final
pool,Pool D
Buffalo Lake Effect,Goosebumps,15,4,"08/02/2025, 08:00",Pool D,Final
PS,District Cocktails,11,7,"08/02/2025, 08:00",Pool D,Final
Buffalo Lake Effect,District Cocktails,13,7,"08/02/2025, 09:45",Pool D,Final
PS,Goosebumps,13,4,"08/02/2025, 09:45",Pool D,Final
Buffalo Lake Effect,PS,12,11,"08/02/2025, 11:30",Pool D,Final
Goosebumps,District Cocktails,9,10,"08/02/2025, 11:30",Pool D,Final
b,r,e,a,k
pools,Pool Play Group 2
pool,Pool E
Philly Twist,LORD,10,7,"08/02/2025, 08:00",Pool E,Final
Obelisk,Domino Effect,15,2,"08/02/2025, 08:00",Pool E,Final
Philly Twist,Domino Effect,14,3,"08/02/2025, 09:45",Pool E,Final
Obelisk,LORD,11,10,"08/02/2025, 09:45",Pool E,Final
Philly Twist,Obelisk,9,12,"08/02/2025, 11:30",Pool E,Final
LORD,Domino Effect,11,4,"08/02/2025, 11:30",Pool E,Final
pool,Pool F
Brooklyn Hive,JAWN,11,9,"08/02/2025, 08:00",Pool F,Final
Buffalo Brain Freeze,Voltage,15,9,"08/02/2025, 08:00",Pool F,Final
Brooklyn Hive,Voltage,14,5,"08/02/2025, 09:45",Pool F,Final
Buffalo Brain Freeze,JAWN,10,12,"08/02/2025, 09:45",Pool F,Final
Brooklyn Hive,Buffalo Brain Freeze,13,8,"08/02/2025, 11:30",Pool F,Final
JAWN,Voltage,14,5,"08/02/2025, 11:30",Pool F,Final
b,r,e,a,k
clusters,Group Crossover
cluster,1 and 2 Crossover
Spice,Brooklyn Hive,12,7,"08/02/2025, 13:15",,Final
Goosebumps,JAWN,7,13,"08/02/2025, 13:15",,Final
Heavy Flow,Obelisk,0,0,"08/02/2025, 15:00",,Scheduled
NY Swipes,Philly Twist,0,0,"08/02/2025, 15:00",,Scheduled
b,r,e,a,k
brackets,1st Place Bracket
bracket,Championship Bracket
UNION,HVAC,0,0,"08/03/2025, 08:00",1st Place Quarterfinals,Scheduled
Buffalo Lake Effect,Delabear,0,0,"08/03/2025, 08:00",1st Place Quarterfinals,Scheduled
Jughandle,Farm Show,0,0,"08/03/2025, 08:00",1st Place Quarterfinals,Scheduled
PS,Jumbo Slice,0,0,"08/03/2025, 08:00",1st Place Quarterfinals,Scheduled
bracket,3rd Place
bracket,5th Place Bracket
bracket,7th Place Bracket
b,r,e,a,k
brackets,9th Place Bracket
bracket,Ninals Bracket
Mashed,JAWN,0,0,"08/03/2025, 11:30",Quarterninals,Scheduled
Funk,Spice,0,0,"08/03/2025, 11:30",Quarterninals,Scheduled
bracket,11th Place
bracket,13th Place Bracket
bracket,Quinceaninals
b,r,e,a,k
brackets,17th Place Bracket
bracket,Seventeenpionship
Brooklyn Hive,Domino Effect,0,0,"08/02/2025, 08:00",17th Quarterfinals,Scheduled
Goosebumps,LORD,0,0,"08/02/2025, 08:00",17th Quarterfinals,Scheduled
bracket,19th Place
bracket,21st Place Bracket
bracket,23rd Place
b,r,e,a,k
