Boston Invite 2026,Club - Mixed ,11,7,2026
Devens,MA,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Boston-Invite-2026/schedule/Mixed/Club-Mixed
Grand Army,1
Funk,T Party,15,9,"07/12/2026, 15:00",13th Place,Final
Funk,PS,13,8,"07/12/2026, 13:00",13inis,Final
Young and the Restless,T Party,10,15,"07/12/2026, 13:00",13inis,Final
bracket,15th
PS,Young and the Restless,13,9,"07/12/2026, 15:00",15th,Final
b,r,e,a,k
pools,17-20
pool,Pool E
Scarecrow,League of Shadows,8,11,"07/12/2026, 09:00",Pool E,Final
Buffalo Lake Effect,Domino Effect,15,5,"07/12/2026, 09:00",Pool E,Final
Scarecrow,Domino Effect,15,4,"07/12/2026, 11:00",Pool E,Final
Buffalo Lake Effect,League of Shadows,14,9,"07/12/2026, 11:00",Pool E,Final
Scarecrow,Buffalo Lake Effect,7,15,"07/12/2026, 13:00",Pool E,Final
League of Shadows,Domino Effect,15,8,"07/12/2026, 13:00",Pool E,Final
b,r,e,a,k
