2026 Select Flight Invite East,Club - Women ,25,7,2026
Sylvania,OH,2026-07-25,2026-07-26
http://play.usaultimate.org/events/2026-Select-Flight-Invite-East/schedule/Women/Club-Women/
6ixers,1
pools,Swiss Draw Rounds 1 & 2
pool,Pool A
6ixers,Brooklyn Book Club,15,3,"07/25/2026, 09:30",Pool A,Final
Vengeance,Indy Rogue,15,6,"07/25/2026, 09:30",Pool A,Final
6ixers,Vengeance,15,6,"07/25/2026, 11:30",Pool A,Final
Brooklyn Book Club,Indy Rogue,8,13,"07/25/2026, 11:30",Pool A,Final
pool,Pool B
Iris,Pizza Rat,15,4,"07/25/2026, 09:30",Pool B,Final
Nemesis,Wicked,15,9,"07/25/2026, 09:30",Pool B,Final
Iris,Nemesis,14,11,"07/25/2026, 11:30",Pool B,Final
Pizza Rat,Wicked,14,12,"07/25/2026, 11:30",Pool B,Final
pool,Pool C
Heist,Shiver,15,8,"07/25/2026, 09:30",Pool C,Final
Agency,Sureshot,15,4,"07/25/2026, 09:30",Pool C,Final
Heist,Agency,15,9,"07/25/2026, 11:30",Pool C,Final
Shiver,Sureshot,13,9,"07/25/2026, 11:30",Pool C,Final
pool,Pool D
Starling,Stellar,15,9,"07/25/2026, 09:30",Pool D,Final
Siege,Lake Erie Walleye,15,6,"07/25/2026, 09:30",Pool D,Final
Starling,Siege,15,4,"07/25/2026, 11:30",Pool D,Final
Stellar,Lake Erie Walleye,15,8,"07/25/2026, 11:30",Pool D,Final
pool,Pool E
Dimes,Magma,15,8,"07/25/2026, 09:30",Pool E,Final
Zephyr,Stella,7,14,"07/25/2026, 09:30",Pool E,Final
Dimes,Stella,15,8,"07/25/2026, 11:30",Pool E,Final
Zephyr,Magma,7,13,"07/25/2026, 11:30",Pool E,Final
b,r,e,a,k
clusters,Swiss Draw Round 3
cluster,Swiss Draw Round 3
6ixers,Stellar,15,6,"07/25/2026, 13:45",,Final
Vengeance,Wicked,15,6,"07/25/2026, 13:45",,Final
Iris,Siege,15,4,"07/25/2026, 13:45",,Final
Pizza Rat,Lake Erie Walleye,15,2,"07/25/2026, 13:45",,Final
Heist,Stella,0,0,"07/25/2026, 13:45",,Scheduled
Shiver,Brooklyn Book Club,0,0,"07/25/2026, 13:45",,Scheduled
Starling,Agency,0,0,"07/25/2026, 13:45",,Scheduled
Magma,Sureshot,15,6,"07/25/2026, 13:45",,Final
Dimes,Nemesis,0,0,"07/25/2026, 13:45",,Scheduled
Zephyr,Indy Rogue,0,0,"07/25/2026, 13:45",,Scheduled
b,r,e,a,k
brackets,Swiss Championship Bracket
bracket,Championship
bracket,Third Place
bracket,Fifth Place Bracket
bracket,Seventh Place
b,r,e,a,k
brackets,Swiss Ninth Place Bracket
bracket,Ninth Place Bracket
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
bracket,Fifteenth Place
b,r,e,a,k
pools,Seventeenth Place Pool
pool,Pool F
b,r,e,a,k
