2022 U.S. Open Club Championships,Youth Club U-20 - Boys ,6,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
smOAK,12
Utah Swarm U20 Boys,Oregon Trainwreck,15,9,"08/07/2022, 15:45",Quarterfinals,Final
ATLiens,DEVYL U-20 Boys,13,12,"08/07/2022, 13:30",Round of 16,Final
smOAK,COSmic U-20 Boys,15,11,"08/07/2022, 13:30",Round of 16,Final
Minnesota Superior U20B,Texas United,11,10,"08/07/2022, 13:30",Round of 16,Final
Seven Hills U20 Open,Rising Tide U20B,12,11,"08/07/2022, 13:30",Round of 16,Final
Triforce,Foggy Bottom Boys,10,9,"08/07/2022, 10:45",Round of 16,Final
BUDA U20B,Philadelphia SEPDA (Boys),14,13,"08/07/2022, 10:45",Round of 16,Final
Utah Swarm U20 Boys,Charlotte Flight,13,9,"08/07/2022, 10:45",Round of 16,Final
Oregon Trainwreck,Red Dawn,15,12,"08/07/2022, 10:45",Round of 16,Final
DEVYL U-20 Boys,Moon Pigs,15,4,"08/07/2022, 08:30",Pre-Round of 16,Final
Villains,COSmic U-20 Boys,8,15,"08/07/2022, 08:30",Pre-Round of 16,Final
Colorado Cutthroat: Youth Club U-20 Boys,Texas United,9,10,"08/07/2022, 08:30",Pre-Round of 16,Final
Rising Tide U20B,Red Hots - u20,14,11,"08/07/2022, 08:30",Pre-Round of 16,Final
Foggy Bottom Boys,Madison MUFAbots U20B,15,3,"08/07/2022, 08:30",Pre-Round of 16,Final
Philadelphia SEPDA (Boys),Connecticut Harpoon,15,1,"08/07/2022, 08:30",Pre-Round of 16,Final
Charlotte Flight,Flying Pig,13,6,"08/07/2022, 08:30",Pre-Round of 16,Final
Red Dawn,Birds Of Play,15,3,"08/07/2022, 08:30",Pre-Round of 16,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
BUDA U20B,Minnesota Superior U20B,15,6,"08/08/2022, 13:00",Third Place,Final
bracket,Fifth Place Bracket
ATLiens,Triforce,12,13,"08/08/2022, 10:45",Fifth Place,Final
ATLiens,Seven Hills U20 Open,11,8,"08/08/2022, 08:30",Fifth Semis,Final
Triforce,Oregon Trainwreck,12,7,"08/08/2022, 08:30",Fifth Semis,Final
bracket,Seventh Place
Seven Hills U20 Open,Oregon Trainwreck,9,10,"08/08/2022, 10:45",Seventh Place,Final
bracket,Ninth Place Bracket
COSmic U-20 Boys,Charlotte Flight,7,15,"08/08/2022, 13:00",Ninth Place,Final
COSmic U-20 Boys,Texas United,15,10,"08/08/2022, 08:30",Ninth Semis,Final
Philadelphia SEPDA (Boys),Charlotte Flight,13,15,"08/08/2022, 08:30",Ninth Semis,Final
DEVYL U-20 Boys,COSmic U-20 Boys,10,14,"08/07/2022, 15:45",Ninth Quarters,Final
Texas United,Rising Tide U20B,13,12,"08/07/2022, 15:45",Ninth Quarters,Final
Foggy Bottom Boys,Philadelphia SEPDA (Boys),6,13,"08/07/2022, 15:45",Ninth Quarters,Final
Charlotte Flight,Red Dawn,15,6,"08/07/2022, 15:45",Ninth Quarters,Final
bracket,Eleventh Place
Texas United,Philadelphia SEPDA (Boys),13,10,"08/08/2022, 13:00",Eleventh Place,Final
bracket,Thirteenth Place
Rising Tide U20B,Foggy Bottom Boys,12,11,"08/08/2022, 13:00",Thirteenth Place,Final
DEVYL U-20 Boys,Rising Tide U20B,9,13,"08/08/2022, 08:30",Thirteenth Semis,Final
Foggy Bottom Boys,Red Dawn,15,7,"08/08/2022, 08:30",Thirteenth Semis,Final
bracket,Fifteenth Place
DEVYL U-20 Boys,Red Dawn,13,11,"08/08/2022, 13:00",Fifteenth Place,Final
b,r,e,a,k
pools,Division II Pools
pool,Pool I
Flying Pig,Red Hots - u20,6,15,"08/07/2022, 13:30",Pool I,Final
pool,Pool J
Villains,Rochester Chill U20B,15,1,"08/07/2022, 10:45",Pool J,Final
Madison MUFAbots U20B,Rochester Chill U20B,15,1,"08/07/2022, 13:30",Pool J,Final
Villains,Madison MUFAbots U20B,15,2,"08/07/2022, 15:45",Pool J,Final
pool,Pool K
Colorado Cutthroat: Youth Club U-20 Boys,Metro,15,1,"08/07/2022, 10:45",Pool K,Final
Birds Of Play,Metro,10,9,"08/07/2022, 13:30",Pool K,Final
Colorado Cutthroat: Youth Club U-20 Boys,Birds Of Play,15,5,"08/07/2022, 15:45",Pool K,Final
pool,Pool L
Connecticut Harpoon,Carolina Sky,12,8,"08/07/2022, 10:45",Pool L,Final
Moon Pigs,Carolina Sky,13,11,"08/07/2022, 13:30",Pool L,Final
Connecticut Harpoon,Moon Pigs,11,10,"08/07/2022, 15:45",Pool L,Final
b,r,e,a,k
brackets,Division II Championship
bracket,D II Finals
Red Hots - u20,Villains,11,12,"08/08/2022, 13:00",D II Finals,Final
Red Hots - u20,Connecticut Harpoon,15,8,"08/08/2022, 08:30",D II Semifinals,Final
Villains,Colorado Cutthroat: Youth Club U-20 Boys,12,10,"08/08/2022, 08:30",D II Semifinals,Final
bracket,DII Third Place
Colorado Cutthroat: Youth Club U-20 Boys,Connecticut Harpoon,10,6,"08/08/2022, 10:45",Third Place,Final
bracket,D II Fifth Place
Moon Pigs,Madison MUFAbots U20B,15,6,"08/08/2022, 10:45",Fifth Place,Final
Flying Pig,Moon Pigs,11,12,"08/08/2022, 08:30",Fifth Semis,Final
Madison MUFAbots U20B,Birds Of Play,12,11,"08/08/2022, 08:30",Fifth Semis,Final
bracket,D II Seventh Place
Flying Pig,Birds Of Play,13,10,"08/08/2022, 10:45",Seventh Place,Final
b,r,e,a,k
clusters,D II Ninth Place Round Robin
cluster,D II Ninth Place Round Robin
Rochester Chill U20B,Metro,3,15,"08/08/2022, 08:30",,Final
Rochester Chill U20B,Carolina Sky,4,15,"08/08/2022, 10:45",,Final
Metro,Carolina Sky,6,15,"08/08/2022, 13:00",,Final
b,r,e,a,k
