College Women's Centex 2016,College - Women ,19,3,2016
Pflugerville,TX,2016-03-19,2016-03-20
https://play.usaultimate.org/events/College-Womens-Centex-2016/schedule/Women/CollegeWomen/
California,5
16,Hannah Bruce
21,Emily Miller
23,Rebecca Burch
24,Madison Williams
25,Sarah Dotson
27,MELANIE MASCORRO
33,Kristin Reid
44,Jordan Harn
b,r,e,a,k
Texas Christian,34
0,Meredith Terpstra
0,Megan Garrett
0,Victoria Cress
2,Marianne Damian
3,Zoey Clark
6,Ivy Harrison
7,Madison Garrett
11,Megan Pleshek
12,Maddie Barnett
13,Senna Nilsson
15,Elise Path
16,Marisa Zamora
18,Grace McNamara
20,Kelly Guilbeau
21,Shelby Hedrick
23,Cailin O'Mara
b,r,e,a,k
Wisconsin-Eau Claire,31
0,Alexis Kabasa
0,Laura Cullen
0,Emily Dalhoff
0,Kate Harrison
0,Hannah Wirth
0,Emily Androschko
0,Megan  Huntley
0,Kendra Kalvin
0,Morgan  Wilde
0,Kaitlin Lofgren
0,Christina  Thomsen
0,Marissa Egeland
0,Serena Schultz
0,ALLISON LENZMEIER
0,Maggie Douglas
0,LAURA EMORY
6,KATE DOCKSEY
7,Samantha Miller
14,Jessica Hendrickson
16,Caitlin Williams
17,Hanna Larson
23,Clancy Ferris
b,r,e,a,k
California (B),39
0,Lily McCann
0,Megan Nguyen
0,Charlotte O'Donnell
0,Alyson Ennis
0,Amanda Wiseman
0,Miranda Jen
0,Janice Chui
0,Devin Redor
0,Rebecca Chew
0,Anusha Nagabandi
0,Alexia Estrada
0,Aline Halliday
8,Roma Patterson
17,Alison Mathews
32,Elena Miller
52,Natasha Shams
84,Alison Haddad
b,r,e,a,k
Nebraska,32
0,Nadine Rowen
01,Min Sze Ewe
02,Elizabeth Rock
10,Christa Fisher
11,Lyssa Witte
15,Tracy Kuper
17,Emily Nichols
18,Michaela Daugherty
19,Sadie Erdmann
27,Megan EisenVos
28,Lauren Uhlig
35,Kaitlyn Waszak
45,Abbie Leschinsky
87,Amanda Borders
96,SHADID DE LA ROSA
b,r,e,a,k
Colorado (B),40
0,Liza  Hasan
0,ERIKA NELSON
0,Britta Bergstrom
0,Carolyn  Mason
19,Rebecca Sellers
21,MEAGHAN PAYNE
23,ANNA WOOD
37,MEREDITH KRAUTLER-KLEMME
80,Madison Kuhn
82,Alora Riley
99,Zoe Collins Rath
b,r,e,a,k
Trinity,33
1,Francis Hurtado
2,Claire Rettenmaier
8,Claire Warkentin
9,Sydney Kuhn
13,Maria Eaton-Mercado
14,Marissa Torres
15,Molly Lenihan
16,Mia Loseff
21,Elizabeth Metzger
22,"Luisa ""RJ"" Ruge-Jones"
27,Catherine Goodin
b,r,e,a,k
California-Santa Barbara,25
0,Audrey Horn
0,Sarah Halperin
0,Julia Kwasnick
0,Kerry Jones
0,Camden  Palm
0,Crystal Lee
0,Mary Mraovich
0,LYLY TRAN
0,Jessica Pham
1,Ria Sager
10,Nicole Sun
12,Angela Dong
16,Dana Patterson
27,Kelsey McClung
34,Kristen Snyder
45,Kieran Hughes
89,Samantha Kretchmar
b,r,e,a,k
Washington University,24
0,Christine Lucky
0,Elizabeth Coe
0,Kylie Mink
0,Emily Brereton
0,Marissa Lerner
0,Marisa DelSignore
0,Teddy Sims
0,Sarah Jane Yockers
0,Christina Stellwagen
0,Rachel Stockdale
0,Daniela Jimenez
0,Jennifer Smith
0,Alison Palmer
2,Hannah Aaron
3,E Peterson-Trujillo
6,Rachel Dreher
9,Stephenie Wang
16,Natalie Gould
17,Sylvia Snyderman
25,ALLISON BUKYS
28,Caroline Buhse
31,Olivia Robinson
33,Maya DeHart
44,JULIA KELLY
96,Mina Bozeman
b,r,e,a,k
s,t,a,g,e,s
pools,T1 PP
pool,Pool A
Central Florida,California,8,9,"03/19/2016, 11:00",Pool A,Final
Colorado,Ohio State,8,10,"03/19/2016, 11:00",Pool A,Final
Central Florida,Ohio State,8,9,"03/19/2016, 13:00",Pool A,Final
Colorado,California,12,10,"03/19/2016, 13:00",Pool A,Final
Central Florida,Colorado,13,10,"03/19/2016, 15:00",Pool A,Final
California,Ohio State,10,8,"03/19/2016, 15:00",Pool A,Final
pool,Pool B
Texas,Virginia,12,9,"03/19/2016, 11:00",Pool B,Final
UCLA,Michigan,9,11,"03/19/2016, 11:00",Pool B,Final
Texas,Michigan,10,11,"03/19/2016, 13:00",Pool B,Final
UCLA,Virginia,12,9,"03/19/2016, 13:00",Pool B,Final
Texas,UCLA,10,8,"03/19/2016, 15:00",Pool B,Final
Virginia,Michigan,7,10,"03/19/2016, 15:00",Pool B,Final
b,r,e,a,k
pools,T2 PP
pool,Pool C
Penn State,Vermont,11,10,"03/19/2016, 09:00",Pool C,Final
Colorado College,Vermont,10,11,"03/19/2016, 11:00",Pool C,Final
Colorado College,Penn State,11,9,"03/19/2016, 13:00",Pool C,Final
pool,Pool D
Florida State,Iowa State,10,11,"03/19/2016, 09:00",Pool D,Final
Minnesota,Iowa State,10,9,"03/19/2016, 11:00",Pool D,Final
Minnesota,Florida State,14,15,"03/19/2016, 13:00",Pool D,Final
pool,Pool E
Southern California,Northeastern,10,11,"03/19/2016, 09:00",Pool E,Final
Kansas,Northeastern,9,12,"03/19/2016, 11:00",Pool E,Final
Kansas,Southern California,10,5,"03/19/2016, 13:00",Pool E,Final
pool,Pool F
