Boston Invite 2016,Club - Women ,25,6,2016
Devens,MA,2016-06-25,2016-06-26
https://play.usaultimate.org/events/Boston-Invite-2016/schedule/Women/Club-Women/
Brute Squad,1
Brooklyn Book Club,EXO,13,3,"06/25/2016, 08:30",Pool B,Final
Baywatch,Roc Paper Scissors,13,9,"06/25/2016, 08:30",Pool B,Final
HOPE,BLADE,12,14,"06/25/2016, 08:30",Pool B,Final
Roc Paper Scissors,BLADE,13,6,"06/25/2016, 12:30",Pool B,Final
EXO,HOPE,6,13,"06/25/2016, 12:30",Pool B,Final
Brooklyn Book Club,Baywatch,12,14,"06/25/2016, 12:30",Pool B,Final
EXO,Roc Paper Scissors,6,13,"06/25/2016, 14:30",Pool B,Final
Baywatch,BLADE,13,6,"06/25/2016, 14:30",Pool B,Final
Brooklyn Book Club,HOPE,11,12,"06/25/2016, 14:30",Pool B,Final
HOPE,Roc Paper Scissors,10,13,"06/25/2016, 16:30",Pool B,Final
Baywatch,EXO,13,6,"06/25/2016, 16:30",Pool B,Final
Brooklyn Book Club,BLADE,13,6,"06/25/2016, 16:30",Pool B,Final
Brooklyn Book Club,Roc Paper Scissors,13,6,"06/26/2016, 08:30",Pool B,Final
EXO,BLADE,9,13,"06/26/2016, 08:30",Pool B,Final
Baywatch,HOPE,13,7,"06/26/2016, 08:30",Pool B,Final
b,r,e,a,k
brackets,Easterns Bracket Play
bracket,Easterns Championship
Pine Baroness,Vice,10,15,"06/26/2016, 14:30",Finals,Final
Pine Baroness,Brooklyn Book Club,15,11,"06/26/2016, 12:30",Semis,Final
Vice,Baywatch,15,4,"06/26/2016, 12:30",Semis,Final
Pine Baroness,BLADE,15,8,"06/26/2016, 10:30",Quarters,Final
Brooklyn Book Club,Salt City Spirit,15,7,"06/26/2016, 10:30",Quarters,Final
Vice,Roc Paper Scissors,15,3,"06/26/2016, 10:30",Quarters,Final
Baywatch,Mystik,15,3,"06/26/2016, 10:30",Quarters,Final
bracket,3rd Place
Brooklyn Book Club,Baywatch,9,10,"06/26/2016, 14:30",3rd Place,Final
bracket,5th Place
BLADE,Mystik,0,1,"06/26/2016, 14:30",5th Place,Final
BLADE,Salt City Spirit,13,9,"06/26/2016, 12:30",5th/7th,Final
Roc Paper Scissors,Mystik,9,15,"06/26/2016, 12:30",5th/7th,Final
bracket,7th Place
Salt City Spirit,Roc Paper Scissors,1,0,"06/26/2016, 14:30",7th Place,Final
bracket,9th Place
Boomslang,HOPE,10,12,"06/26/2016, 12:30",9th Place,Final
Boomslang,EXO,1,0,"06/26/2016, 10:30",9th/11th,Final
HOPE,BUDA,14,4,"06/26/2016, 10:30",9th/11th,Final
bracket,11th Place
EXO,BUDA,0,0,"06/26/2016, 12:30",11th Place,Scheduled
b,r,e,a,k
